"IncomeGroup","ChildrenInHH","Homeownership","PrizmCode","MonthlyMinutes","MonthlyRevenue","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","DroppedCalls","UnansweredCalls","CustomerCareCalls","MonthsInService","UniqueSubs","ActiveSubs","CurrentEquipmentDays","AgeHH1","AgeHH2","Churn"
5,"Yes","Known","Suburban",139,35.55,35,0.25,0,0,0,3.3,0,52,1,1,628,40,44,0
7,"No","Known","Town",46,21.15,17,0,14,0,1.3,7.3,0,58,1,1,138,74,74,0
9,"Yes","Known","Suburban",66,28.5,30,0,0,0,0.3,1.3,0,56,2,1,917,48,54,0
7,"No","Known","Town",1194,99.91,75,0.5,97,0,11,53.3,2.7,54,1,1,258,28,44,0
9,"Yes","Known","Town",156,30,30,0,0,0,2,3,0,56,2,2,630,36,38,0
9,"Yes","Known","Suburban",196,33.48,30,0,0,2.6,6.7,6.3,0,54,2,1,179,50,48,1
8,"Yes","Known","Suburban",660,82.16,50,0,101,1.9,3,10.3,0,57,3,3,107,46,48,0
9,"No","Known","Suburban",56,30,30,0,0,0,1,4,0.3,53,2,2,616,74,74,0
6,"No","Known","Suburban",4,16.14,17,0,0,0,0,1.7,0,55,1,1,1661,64,64,1
9,"No","Known","Suburban",684,57.98,55,0,3,0,15.7,23.7,5,55,2,1,864,50,44,1
5,"No","Known","Town",852,78.29,85,0,0,0,10.7,47,1,53,5,4,151,50,50,1
7,"Yes","Known","Suburban",782,107.23,25,0,233,0,1,3,0.3,55,1,1,162,36,38,1
3,"No","Known","Suburban",24,30.26,30,0,0,0,0,2,0.7,51,1,1,985,72,68,1
9,"No","Known","Suburban",1293,145.79,68,0,265,0,6.7,39.3,3.3,55,2,2,20,64,60,0
0,"No","Unknown","Town",100,50.56,50,0,0,0,0.3,18.7,0,53,1,1,977,42,44,1
6,"Yes","Known","Rural",404,51.24,50,0,0,0,5.3,12.3,2,55,1,1,528,44,44,1
7,"No","Unknown","Town",1,20.18,20,0,0,0,0,0,0,50,1,1,1536,46,44,0
7,"Yes","Known","Suburban",36,36.84,45,0,0,1.8,0.3,2,0,55,3,2,1023,40,34,1
7,"No","Known","Other",71,37.99,38,0,0,0,0,2.7,0,53,1,1,1597,76,68,0
6,"No","Known","Suburban",333,91.17,75,0,0,0,3.3,33.7,0.3,50,2,2,122,30,44,0
6,"Yes","Known","Suburban",65,29.73,30,0.99,2,0,0,2.7,0,50,2,1,530,40,34,0
6,"Yes","Known","Town",2382,149.99,150,0,0,0,4,161,9.7,56,3,3,307,50,40,1
3,"No","Known","Other",745,84.91,85,0.5,0,0,3,51.7,2.7,50,1,1,86,48,22,0
4,"No","Known","Town",20,17.43,17,0,1,0,0.3,5.3,1,56,1,1,1695,44,44,0
0,"No","Unknown","Suburban",1671,107.25,75,0,126,0,6.7,33.7,0,54,1,1,492,42,44,0
7,"No","Unknown","Town",1438,163.54,83,2.48,0,0.1,15,88,0.3,50,2,1,100,50,44,0
7,"No","Known","Other",1230,66.28,60,2.97,53,0,4,40.3,9.7,52,1,1,659,30,44,0
7,"Yes","Known","Suburban",18,21.12,19,0,9,0,0,0,0,54,1,1,839,54,54,0
0,"No","Unknown","Other",560,136.42,71,0.5,163,0,7,21.3,0,56,3,2,374,42,44,1
7,"No","Known","Suburban",1008,76.74,60,0.5,65,6.7,2,82,0,52,3,3,163,54,46,0
7,"No","Known","Suburban",3479,196.76,85,4.95,872,0,7,149.7,0.7,54,3,2,47,38,60,0
8,"No","Known","Other",831,79.44,75,4.46,0,0,2,10,0,56,1,1,49,30,30,0
1,"No","Known","Suburban",1010,56.31,60,0,10,0,4,31.3,0.7,52,1,1,4,42,44,0
2,"No","Known","Suburban",828,79.59,75,0,0,2.1,10.3,32.7,0.3,50,1,1,350,52,52,0
6,"No","Known","Suburban",148,35.3,45,0,0,0,1.7,11.3,0,50,1,1,331,50,50,0
9,"Yes","Known","Town",493,75.73,85,0.74,0,0,2.7,12,0,52,1,1,158,48,38,0
7,"Yes","Known","Town",820,49.99,60,0,2,0,1.7,33.3,6.7,56,1,1,451,48,44,0
6,"No","Known","Suburban",34,23.5,15,0,30,0,0,0.7,0.3,52,1,1,1583,68,68,0
1,"No","Known","Other",148,29.99,30,0,0,0,6,11,0.7,54,1,1,527,56,44,0
4,"Yes","Known","Suburban",1376,103.28,85,0.74,38,7.7,5.7,52.7,3,56,2,1,652,48,44,0
7,"Yes","Known","Rural",538,71.86,75,0.5,0,0,6,13.3,0,54,3,2,161,40,40,0
4,"No","Known","Other",1650,114.13,83,1.73,52,0,3.7,23,0,50,6,4,306,40,34,0
0,"No","Unknown","Other",952,90.25,50,0,161,0,11.7,47.3,0,54,1,1,1475,42,44,1
6,"No","Unknown","Other",1020,53.79,58,0.99,162,0,1,25,0,54,1,1,163,42,44,1
6,"Yes","Known","Other",70,45.85,50,0,0,0.4,0.7,7.3,0,52,2,2,11,46,44,0
0,"No","Unknown","Town",161,95.17,89,0,0,0,0.7,1.3,0,56,4,4,1116,42,44,0
0,"No","Unknown","Other",1151,90.61,95,0.25,22,0,3,20.7,1.3,54,4,2,1599,42,44,1
0,"No","Unknown","Suburban",2338,226,78,0,370,1.9,13.7,48,0,54,1,1,240,42,44,0
6,"Yes","Known","Suburban",784,105.84,80,0.25,0,17.8,1.7,18,0,54,2,2,452,62,62,0
7,"No","Known","Suburban",1807,113.52,85,1.98,102,1,4.3,69.7,0,52,2,1,387,48,44,0
6,"No","Known","Other",368,51.46,45,1.98,39,0.8,4.3,26.7,0,56,1,1,701,48,44,1
5,"No","Known","Suburban",291,35.58,45,0.5,0,0,4.7,42,0,52,1,1,135,42,34,0
7,"Yes","Known","Rural",1172,114.54,83,0.99,0,8.7,4.7,39,0.3,54,1,1,773,44,44,0
0,"No","Unknown","Other",1580,138.48,77,1.73,227,0,2.7,20,0.3,50,1,1,336,42,44,1
3,"No","Known","Other",2256,159.52,83,3.22,666,0.6,11,82.7,0,54,2,2,318,38,66,1
6,"Yes","Known","Other",711,50.48,50,0.5,0,0,0.7,38.3,0,56,1,1,430,38,44,0
6,"Yes","Known","Other",343,75,75,0,0,0,3.7,24,0,54,1,1,581,58,58,0
6,"Yes","Known","Rural",3808,281.33,183,8.41,759,0,27.3,93.7,0.7,50,1,1,77,48,48,0
9,"No","Known","Other",1670,97.83,83,3.71,0,1.3,1.3,95.7,0.7,52,2,1,116,62,58,0
6,"Yes","Known","Suburban",516,55.51,50,0.25,30,0.3,2.7,28,0,54,1,1,45,48,44,0
5,"No","Known","Other",797,70.19,60,0,43,0,7.7,35.3,0.3,49,1,1,10,32,36,0
4,"No","Known","Suburban",181,30.86,30,0.5,0,0.1,2.3,19.3,6.3,49,1,1,574,32,28,1
0,"No","Unknown","Suburban",1166,104.75,75,5.45,0,0.5,1.7,22.7,0,49,3,3,710,42,44,0
5,"No","Unknown","Other",3210,260.81,213,44.3,0,0,9.7,142,4.7,53,2,1,124,40,44,0
7,"No","Known","Other",66,36.39,30,0,0,0,0,0,0.7,51,1,1,754,54,44,1
7,"No","Known","Suburban",154,50,50,0,0,0,2.3,15,0,51,1,1,1565,50,44,0
1,"No","Known","Other",2206,106.33,85,1.24,107,0,19.3,53.3,11.3,53,1,1,151,42,44,1
0,"No","Unknown","Suburban",1806,122,75,15.59,146,1,5,62.7,2,49,2,1,69,42,44,0
0,"No","Unknown","Rural",44,34.99,45,0,0,0,0.7,5.7,0.7,51,1,1,270,42,44,0
3,"No","Unknown","Other",1730,120.38,87,2.72,183,0,3,64.3,4,55,1,1,241,42,44,0
7,"Yes","Known","Suburban",790,83.83,75,4.95,0,0,33.3,30.7,1,51,1,1,638,46,44,1
6,"No","Known","Other",219,30.32,30,0,0,0,1.7,23,2.7,51,2,2,776,56,26,0
7,"Yes","Known","Suburban",18,30,30,0,0,0,0,5.7,0,55,1,1,1669,72,76,1
4,"Yes","Known","Other",1228,108.72,108,0.74,0,0,0.7,26,0.3,55,1,1,226,38,34,0
4,"Yes","Known","Other",112,32.27,32,0,0,0,1.7,13.3,0,49,1,1,517,42,44,0
3,"No","Known","Other",245,43.72,30,0,30,0,3,19.3,0,51,1,1,180,38,44,0
0,"No","Unknown","Other",572,65.94,59,0,45,1.5,5.3,29,0.3,51,1,1,275,42,44,0
4,"No","Known","Other",295,32.5,30,0,7,0,8.7,18.3,3,53,1,1,181,44,48,0
6,"No","Known","Other",848,79.39,70,0,64,0,0,0,0,53,2,2,422,42,44,0
5,"No","Known","Rural",1710,90.9,75,0.25,156,0,7.3,72,2,55,3,3,132,52,52,1
5,"Yes","Known","Suburban",866,103.16,38,0,216,41.3,2.7,36.3,0,49,1,1,418,50,52,0
7,"No","Known","Other",1410,164.14,75,7.67,0,0.9,24,66.7,0,51,1,1,395,54,36,1
2,"No","Known","Suburban",490,117.12,70,0,140,0,11.3,46.7,1,51,6,2,279,30,44,1
5,"No","Known","Other",34,8.07,5,0,32,0.5,1,2,0,49,1,1,411,40,44,1
6,"Yes","Known","Rural",71,41.29,40,0,0,1.3,0,5.3,0,53,1,1,561,46,46,0
0,"No","Unknown","Other",3559,180.22,150,11.38,99,0,3.7,120.7,0,55,3,2,-3,42,44,1
4,"No","Known","Suburban",340,41.09,35,4.21,6,0,2.7,19.7,1.3,49,1,1,1493,42,44,1
0,"No","Unknown","Other",287,46.94,30,0.99,62,0.3,3.3,23,3.3,55,1,1,831,42,44,0
4,"No","Unknown","Rural",3584,44.96,59,0.25,1094,0,39,216,1.3,51,2,1,489,50,40,1
8,"No","Known","Suburban",50,28.73,30,0,0,0.2,0,1.7,0,51,1,1,503,44,42,1
4,"Yes","Known","Suburban",485,50.31,50,1.73,8,0,2,20.3,1.7,53,1,1,318,42,36,0
7,"Yes","Known","Suburban",194,50.53,20,0.74,144,0,0.7,4,0,49,2,2,315,56,50,0
5,"Yes","Known","Suburban",18,23.5,5,0,18,0,0.3,1.7,0,53,1,1,1595,38,36,1
7,"No","Unknown","Suburban",501,77.04,45,0,97,0,11.3,50.3,1.7,53,1,1,672,54,44,1
5,"Yes","Known","Suburban",3206,166.82,83,3.96,537,15.9,10.7,94.3,0,49,3,3,77,30,30,0
5,"No","Known","Other",1161,111.61,105,0,32,0,2.3,67,0,55,1,1,299,62,60,0
0,"No","Unknown","Rural",143,111.7,107,4.21,0,0,5,12.3,0,53,2,2,1592,42,44,1
0,"No","Unknown","Other",149,81.6,74,0,50,0.2,2,3.3,0,53,3,0,329,42,44,0
5,"Yes","Known","Suburban",890,85.58,75,0.99,0,0,7.3,87.3,0,49,6,4,475,54,54,1
7,"No","Known","Suburban",438,51.14,50,0,3,0,0,24,0.3,53,1,1,1590,54,44,1
6,"No","Known","Other",355,56.48,55,0.99,0,0,8.3,19.3,0,49,1,1,669,60,44,1
3,"No","Known","Other",699,87.52,80,0,0,2.8,6.7,10.3,1.3,55,1,1,99,32,44,0
7,"No","Known","Other",479,103.5,75,0.74,0,0,10,36.7,0,53,2,2,86,60,26,0
6,"No","Known","Suburban",594,124.52,102,0,0,0,2.3,15.7,2,51,1,1,61,52,64,1
6,"No","Known","Other",731,134.3,140,0.74,0,0,6,14.7,0,55,2,2,675,58,58,0
9,"No","Known","Suburban",2,75,75,0,0,0,0,0,0,55,2,2,799,64,62,0
7,"No","Known","Town",399,34.4,32,1.73,0,0.2,1.3,28.3,0,51,2,2,47,64,58,0
5,"No","Known","Suburban",144,53.69,50,0,0,0,0.7,6,0.3,49,3,1,325,36,28,0
2,"Yes","Known","Rural",2489,135.15,85,0.25,443,4.9,44,146.7,0.3,55,2,2,109,68,68,1
0,"No","Unknown","Other",1204,94.99,85,0,0,0.3,12.7,45,0.3,51,5,5,30,42,44,0
8,"No","Known","Suburban",838,83.64,85,4.46,0,0.2,7.7,54,0,51,2,2,239,50,48,0
7,"No","Known","Town",1250,104.45,75,1.98,0,4.3,50,47.3,0,48,2,1,305,46,42,1
7,"Yes","Known","Town",1086,79.88,75,0,6,0,15.3,51.3,0.3,51,3,2,804,40,44,1
7,"No","Known","Suburban",1027,96.45,50,1.24,238,0,8.7,52.3,0,53,1,1,1583,62,58,0
0,"No","Unknown","Suburban",503,77.81,63,5.2,24,0,6.3,37.7,0.7,53,2,1,75,42,44,0
7,"No","Known","Suburban",432,50.58,50,0,6,0,1.3,10,0,55,2,1,443,54,52,0
7,"No","Known","Suburban",415,63.3,45,1.24,88,1.5,4.7,25.7,0,50,3,1,293,56,50,1
6,"No","Known","Rural",1333,121,75,0,229,0,16.7,51,3.3,54,2,2,115,48,48,0
2,"Yes","Known","Suburban",1104,125.23,60,0.25,250,0.2,2,64.3,6,54,1,1,348,36,44,1
6,"Yes","Known","Other",3148,316.47,75,17.57,1306,0,17.3,89,5.3,50,2,2,631,44,36,1
0,"No","Unknown","Other",1107,112.56,83,16.58,0,0,2.7,52.7,0,50,1,1,96,42,44,1
6,"Yes","Known","Town",12,20.12,20,0,0,0,0,0,0,54,1,1,1638,46,48,0
4,"No","Unknown","Rural",772,49.99,60,0,0,0,3,27.3,0,52,1,1,547,42,44,0
0,"No","Unknown","Town",1130,83.5,75,0,30,0.3,3,18,2,48,1,1,284,42,44,0
6,"No","Known","Suburban",46,29.99,30,0,0,0,0,7.7,3.7,52,1,1,1441,50,24,1
9,"No","Known","Town",478,53.69,60,0,0,0,5.3,17.7,0,48,3,3,438,48,44,0
6,"No","Known","Town",1262,76.47,75,0,1,0,5.3,131.7,1,48,1,1,25,38,34,0
5,"No","Unknown","Suburban",2746,161.88,75,3.96,532,0.2,5,38.3,0,48,1,1,241,42,44,0
6,"No","Known","Other",1622,92.3,75,0,0,0.2,8.3,72.7,0.3,48,1,1,206,28,44,0
3,"No","Known","Suburban",1684,98.82,75,0.74,198,0,2.3,24.3,0,50,1,1,314,72,44,0
6,"No","Known","Rural",307,35.3,35,0,0,0,1,24.3,0,48,1,1,539,60,44,0
6,"No","Known","Suburban",1206,105.37,75,18.56,0,0,8.7,77.3,0,50,1,1,54,42,44,0
7,"No","Known","Town",430,47.5,50,0,0,0,0,17,0,54,1,1,6,60,58,1
8,"No","Known","Other",1611,105.73,93,7.18,47,0,25.7,94,4.7,48,4,3,19,60,58,0
9,"No","Known","Other",409,51.62,50,0,0,0,2,27.3,3,50,1,1,53,54,50,0
2,"No","Known","Other",5863,529.63,202,55.19,1565,0.1,7.7,157,5.3,52,1,1,187,34,44,0
3,"No","Unknown","Other",1461,76.84,75,0,0,0,8,50,1.3,48,1,1,446,54,44,0
9,"No","Known","Other",1270,80.97,87,0.74,0,0,3.3,21,2,52,1,1,369,42,44,0
7,"Yes","Known","Other",1239,99.42,85,1.98,52,0,12,74,0.3,50,2,1,173,50,46,0
6,"No","Known","Rural",1122,104.98,87,8.66,0,4,6.7,30.3,2,48,3,3,198,48,42,0
9,"No","Known","Suburban",78,35.34,20,0,38,0,0,4.3,0,48,1,1,1462,42,42,1
9,"No","Known","Suburban",362,32.02,32,0.25,2,0,2.3,18.7,0.3,48,2,2,691,46,42,0
7,"No","Known","Suburban",457,74.09,80,0,32,1.4,2.7,14.3,1,52,4,4,160,58,58,0
5,"No","Known","Other",1051,77.65,50,0.25,264,0,3.7,27,0,52,1,1,246,54,44,0
2,"No","Known","Other",5,23.24,20,0,0,0,1,4.3,2,50,1,1,325,32,44,1
4,"No","Known","Rural",866,77.23,75,1.49,0,0,0.7,31,1.7,48,1,1,230,42,44,1
5,"No","Known","Other",767,111.39,75,7.42,0,0,8,23.3,0.3,48,1,1,664,60,60,0
0,"No","Unknown","Town",130,78.25,75,0,0,0,0.3,6.3,0,52,1,1,438,42,44,0
6,"No","Known","Other",439,63.48,30,1.98,90,0,5,71.3,1.3,50,1,1,257,38,30,1
1,"Yes","Known","Town",214,38.17,30,0,0,0,1.3,18.3,0,48,1,1,922,52,26,1
6,"Yes","Known","Other",1149,79.19,85,0,0,0.2,7,115.7,4.7,54,1,1,417,50,48,0
7,"Yes","Known","Other",1560,90.92,75,0.74,69,0,31.7,128,0,48,4,2,192,48,44,0
9,"Yes","Known","Suburban",1134,145.15,150,1.98,0,0.5,6,54,0,50,3,3,378,88,90,0
3,"No","Known","Other",764,51.72,70,0,4,0,2,46.3,3.7,48,1,1,181,50,44,0
3,"No","Known","Suburban",1066,87.62,75,0.25,50,0,1.7,24,0,50,1,1,317,44,38,0
6,"No","Known","Other",1388,129.43,95,14.6,98,0,6,89.3,0.7,48,2,2,123,38,44,0
0,"No","Unknown","Town",698,67.14,49,0,158,0,0.7,20.7,3,54,1,1,435,42,44,0
7,"No","Known","Suburban",311,64.98,70,4.46,0,0,6.7,10.3,0.7,48,3,2,238,52,44,1
4,"No","Unknown","Suburban",1112,99.04,60,0,247,0,16.7,51,4.7,48,2,2,48,52,42,0
6,"Yes","Known","Other",6,10,10,0,0,0,0,0,0,54,1,1,431,40,44,1
1,"No","Unknown","Town",378,68.31,60,0,0,0,5.3,24.3,1.3,48,1,1,32,42,44,0
0,"No","Unknown","Other",173,49.2,48,0.5,0,0,0,7.7,0.3,50,1,1,89,42,44,0
7,"No","Known","Suburban",585,74.37,81,0.99,0,0,5,23,0.3,52,1,1,632,32,64,0
6,"Yes","Unknown","Other",16,20,20,0,0,0,0,0,0.7,50,1,1,1517,30,26,0
7,"No","Known","Suburban",1141,83.67,75,0.5,0,0,9.3,44,0,52,2,1,631,54,46,0
0,"No","Unknown","Other",1028,96.3,85,0.25,0,1.2,16,58,1.3,50,1,1,502,48,28,0
4,"No","Known","Other",1592,95,75,10.89,7,0,21.7,98,3.7,52,1,1,182,52,46,0
6,"No","Known","Suburban",2311,112.06,80,4.95,96,0,11.7,299.7,7.7,50,1,1,30,38,44,0
5,"Yes","Known","Suburban",414,86.3,75,3.96,0,0,7.3,26,0,48,1,1,456,40,44,1
6,"No","Unknown","Other",889,65.9,57,0.5,33,0,8.3,85.3,0,54,2,1,555,36,44,0
8,"Yes","Known","Town",162,38.53,38,0,0,0.2,0,11.3,0,52,1,1,841,48,46,1
8,"No","Known","Suburban",1130,79.88,75,0,0,0,11.3,27.3,0,52,1,1,448,40,34,0
9,"No","Known","Suburban",256,50.98,50,0.99,0,0,6.7,14.3,0,52,1,1,228,44,44,1
5,"Yes","Known","Suburban",202,51.9,24,0.5,37,0,4.7,24.3,0,54,1,1,861,62,56,0
7,"No","Known","Other",2058,134.57,75,0.25,353,0.1,10,23,0,48,2,1,569,48,44,0
4,"Yes","Known","Suburban",428,77.26,35,0.25,112,0,0,10,0,48,1,1,13,44,32,0
0,"No","Unknown","Other",651,74.21,75,3.71,0,0,7.7,32,0,52,2,2,686,42,44,1
5,"No","Known","Town",73,28.68,20,0,22,0,0.7,4,0,50,1,1,998,62,60,1
9,"Yes","Known","Town",147,38.93,30,0.5,8,0,3.3,7,0.3,48,1,1,644,48,44,0
4,"No","Known","Other",3,20.88,21,0,0,0,0,0,0,54,1,1,311,56,62,0
4,"Yes","Known","Rural",1509,93.7,75,0,64,0,10.3,63.3,0.7,50,1,1,582,38,30,0
0,"No","Unknown","Suburban",411,124.74,75,1.49,0,26.2,1,12.3,1,50,5,2,320,42,44,1
7,"No","Known","Town",1852,96.33,75,0.74,44,1.7,26.3,164.3,0,52,1,1,247,50,44,1
9,"Yes","Known","Other",482,48.98,45,0.5,34,0,4.3,21.3,0,50,1,1,183,52,52,0
0,"No","Unknown","Suburban",1363,187.35,75,27.47,306,4.9,25,85,1.3,52,1,1,13,42,44,0
7,"No","Known","Suburban",45,48.89,47,0,0,0,0.3,1,0,48,1,1,575,50,48,1
5,"No","Known","Other",930,98.24,105,0,0,0,22.7,46.3,1,52,3,2,822,70,64,0
9,"Yes","Known","Suburban",2185,110.7,81,0.99,39,0,22,123.3,6,48,2,2,68,28,44,0
7,"No","Known","Other",289,45.4,45,0,30,0,2.7,8,0,52,2,2,389,44,44,0
9,"No","Known","Suburban",430,37.56,37,0,0,0.1,4,11.3,0.7,54,1,1,256,50,50,0
6,"Yes","Known","Suburban",1730,87.71,75,0.25,32,0,23.7,63.7,0.3,48,1,1,239,60,52,0
4,"No","Known","Other",752,106.08,60,0.99,182,0,10.7,26,0,48,1,1,528,54,26,0
9,"Yes","Known","Suburban",577,76.12,85,0.74,1,0,9.7,22.7,0,52,1,1,166,46,46,0
4,"No","Known","Suburban",750,74.22,22,0.25,85,0,2.7,12.7,0.7,50,1,1,313,36,44,1
9,"No","Known","Suburban",608,92.59,50,4.21,1,0.5,8.3,23.7,0,50,1,1,652,42,44,0
6,"No","Known","Town",879,83.58,97,0,5,0,11.3,71.3,0,54,4,4,16,48,46,0
6,"Yes","Known","Suburban",692,74.95,71,13.86,0,0,17.7,59.7,0.7,50,2,1,698,80,74,1
0,"No","Unknown","Other",1790,167.1,160,16.34,0,0.8,11.3,33.7,0,54,2,1,556,42,44,0
7,"Yes","Known","Suburban",188,30.26,30,0,0,0,7,31.7,0,48,2,2,304,54,52,0
0,"No","Unknown","Other",47,30.48,30,0.5,0,0,0.7,6.3,0.7,52,7,4,1554,42,44,1
7,"Yes","Known","Suburban",1514,99.61,80,0.25,0,0.2,20,66.7,0,50,2,2,331,48,44,0
6,"Yes","Unknown","Suburban",44,25.04,20,0,12,0,2.7,4.7,0,50,1,1,1088,42,44,1
6,"Yes","Known","Suburban",938,75.67,95,0,0,0,8,20.3,0,48,3,2,198,56,52,0
9,"Yes","Known","Suburban",403,55.98,50,0,0,1.2,15.7,16.7,0,54,2,1,1264,52,50,1
6,"Yes","Known","Town",3,7.5,10,0,0,0,0,1,0,52,1,1,588,38,34,1
9,"Yes","Known","Suburban",1764,191.66,110,16.34,215,0,0,0,0,54,2,2,439,36,46,1
9,"No","Known","Other",114,37.35,32,0.74,13,0,2.3,12,0,48,2,2,494,50,48,0
3,"No","Known","Suburban",479,64.8,50,0,139,0,0.7,23.7,1,47,1,1,172,58,58,1
9,"No","Known","Suburban",3,17.14,17,0,0,0,0,0,0,47,1,1,1444,56,54,1
0,"No","Unknown","Suburban",2955,124.06,82,0,421,0,23,104.7,0,52,2,2,195,42,44,0
6,"No","Known","Other",1245,80.28,68,1.24,73,0,0,0,0,50,2,1,285,40,44,0
8,"No","Known","Other",820,100.05,85,3.46,0,17.5,8.7,41.3,0,47,1,1,686,46,44,0
0,"No","Unknown","Other",1058,99.58,75,0,0,0.9,10.7,39.3,0,47,1,1,702,42,44,0
0,"No","Unknown","Other",134,61.02,70,0.5,0,0,1.7,9.3,0,47,3,2,767,42,44,0
0,"No","Unknown","Other",3280,147.46,80,0,546,0,12.3,213.3,4.3,53,1,1,1,40,44,0
7,"No","Known","Town",227,38.88,45,1.98,4,0.7,1,8.3,0,53,1,1,217,30,44,0
0,"No","Unknown","Other",369,70.71,50,7.18,0,3.8,4,14.3,0.3,47,2,2,416,42,44,1
7,"No","Known","Suburban",409,43.83,42,0.5,16,0,6.7,15.3,0,47,2,2,1442,48,54,1
8,"No","Known","Rural",817,74.52,36,2.23,98,7.4,14,72,5.3,51,2,1,90,42,48,0
3,"No","Known","Suburban",542,45.43,35,0,32,0,2.3,12.7,0,47,1,1,1287,34,44,1
4,"No","Known","Other",2845,203.97,75,4.46,1083,0.1,34.7,93.7,0.7,53,4,4,140,34,34,0
0,"No","Unknown","Suburban",482,97.54,115,0,20,0,3,29,0,51,2,1,4,42,44,0
9,"No","Known","Suburban",631,88.24,95,0,0,0,4.7,6,0,53,2,2,410,42,44,0
5,"No","Known","Suburban",1526,103.21,76,2.23,0,0,21.3,106.3,0.3,53,2,2,663,38,32,0
6,"No","Unknown","Suburban",674,61.62,55,2.97,30,0,2.7,41,0,47,1,1,463,28,28,1
9,"Yes","Known","Suburban",410,58.12,50,7.67,0,0,0.3,15,0,49,1,1,538,42,40,0
5,"Yes","Known","Suburban",196,87.07,7,0.74,42,0,2,17.3,0,53,2,1,876,32,30,1
8,"No","Known","Suburban",51,30.32,30,0.25,0,0,0,1.7,0,49,1,1,1145,54,50,0
9,"No","Known","Town",655,77.5,85,1.73,37,0,4.7,90,0,51,2,2,533,42,44,1
7,"No","Known","Other",509,51.45,60,0.99,0,0,0.7,45.7,0,47,1,1,195,76,76,0
6,"No","Known","Suburban",1804,93.58,75,10.15,26,0,17.7,47.7,0,49,1,1,341,50,44,0
5,"No","Known","Other",381,63.3,50,2.72,0,0,4.7,7,0,47,2,2,231,46,44,1
0,"No","Unknown","Other",781,84.88,80,4.7,0,0.1,7.7,80,0,51,1,1,86,42,44,0
3,"No","Known","Suburban",493,72.65,50,1.24,7,0.7,2.3,28,0.7,47,1,1,135,40,44,1
7,"Yes","Known","Other",64,42.2,52,0,0,0,0,10.7,0,51,3,1,615,34,32,1
6,"No","Known","Suburban",835,40.52,50,0,28,0,14.3,103.7,20,51,1,1,15,54,54,0
9,"Yes","Known","Suburban",1410,117.6,81,0,0,0,12.7,93.3,1,53,1,1,98,56,52,0
0,"No","Unknown","Suburban",2935,332.74,200,0.99,470,34.3,22,70.7,0,49,3,2,382,42,44,0
6,"No","Known","Other",604,56.38,50,1.98,20,0,4.7,22.3,0.7,47,1,1,524,26,44,0
4,"No","Known","Rural",454,88.24,85,0,0,0,9.3,15.3,0,53,2,2,250,50,44,0
7,"Yes","Known","Suburban",306,50,50,0,0,0,1.3,18,0.3,49,2,2,3,46,40,0
5,"No","Known","Other",805,75.92,75,0.25,0,0,3.3,22.3,0,47,1,1,574,58,44,0
5,"No","Known","Suburban",1032,93.2,75,2.48,0,0,19.7,38.3,2,51,5,5,268,38,44,0
3,"Yes","Known","Suburban",832,79.42,75,0,0,0.5,9.7,89.3,0,49,2,1,555,56,48,0
