"IncomeGroup","ChildrenInHH","Homeownership","PrizmCode","MonthlyMinutes","MonthlyRevenue","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","DroppedCalls","UnansweredCalls","CustomerCareCalls","MonthsInService","UniqueSubs","ActiveSubs","CurrentEquipmentDays","AgeHH1","AgeHH2","Churn"
5,"No","Known","Town",448,29.54,10,1.24,46,0,2,18.3,0,28,2,2,829,28,28,0
1,"No","Known","Other",373,36.61,45,0.25,4,0.1,2.3,53.3,0,11,1,1,327,22,44,0
6,"Yes","Known","Other",221,30.15,30,0,1,0,4,8.3,2.3,15,2,1,347,42,44,0
0,"No","Unknown","Suburban",349,35.3,45,0,0,0,2,21.7,7,7,1,1,204,42,44,0
1,"No","Known","Other",101,58.2,57,0.5,0,0,0.3,0.7,0,40,2,2,791,34,38,0
0,"No","Unknown","Town",1868,150.28,87,3.22,270,0.6,16,48,0.7,8,1,1,249,42,44,0
3,"No","Known","Other",328,37.6,45,0,6,0.2,3.7,36.3,2.7,6,1,1,77,34,44,0
5,"No","Known","Other",465,51.15,50,0,0,0,8,12.7,5,23,2,1,697,26,28,0
6,"No","Known","Suburban",183,30.89,32,0.5,0,0,3.7,10,0.3,34,2,2,1023,56,26,0
6,"No","Unknown","Other",366,51.29,45,0,41,0,6.7,34.7,0.3,7,2,2,211,32,44,0
9,"No","Known","Suburban",1218,144.71,137,7.42,22,0,9,81.3,4,33,4,1,105,40,36,0
0,"No","Unknown","Other",310,43.82,56,0,0,0.6,11.3,16.3,0.3,15,1,1,119,42,44,0
9,"No","Known","Suburban",277,37.74,47,0.25,0,0,3,8.3,3.7,21,1,1,50,56,54,0
0,"No","Unknown","Suburban",840,90.72,85,1.73,0,0,1.3,60,0.3,11,2,2,309,42,44,0
7,"Yes","Known","Suburban",26,36.23,45,1.24,0,0,0.3,1,0,33,1,1,319,34,34,0
9,"Yes","Known","Town",75,32.33,30,0,0,2.3,1.7,2.3,0,23,1,1,703,54,52,0
6,"Yes","Known","Town",212,19.75,10,0,18,0,1.3,13,1.3,10,2,2,244,56,50,0
0,"No","Unknown","Suburban",125,56.7,60,0.5,19,0,3.7,4,0,20,2,2,325,42,44,0
7,"No","Unknown","Suburban",483,80.78,85,0,6,0,1.7,11.7,0,33,1,1,157,28,26,0
5,"Yes","Known","Other",569,49.41,55,0,26,0,10,0,3.3,7,1,1,225,42,38,0
0,"No","Unknown","Other",186,43.61,25,0,48,0,2,6.3,0,20,1,1,528,42,44,0
7,"No","Known","Town",1776,169.63,85,0.74,366,2.4,3.7,25,1.3,28,1,1,516,52,44,0
0,"No","Unknown","Other",670,56.54,60,0,15,0,13.3,28,0.7,21,1,1,628,42,44,0
5,"Yes","Known","Other",59,30.26,30,0,0,0,0.7,5.3,0,16,1,1,490,42,38,0
5,"No","Known","Suburban",663,65.22,65,1.49,0,0,2.3,56.7,1.7,8,1,1,220,42,44,0
0,"No","Unknown","Other",130,54.1,55,0,0,0.8,5.3,9.7,3.3,6,1,1,191,42,44,0
0,"No","Unknown","Other",279,68.25,35,1.24,62,8,1.7,14.7,5.3,13,1,1,275,42,44,0
6,"Yes","Known","Other",1022,171.88,60,1.98,391,2.5,12.7,55.7,0,11,1,1,314,40,40,0
7,"No","Known","Suburban",304,36.07,30,0.74,10,0.3,3.3,18.7,0,15,1,1,448,42,44,0
1,"No","Unknown","Other",672,84.24,31,0.25,16,0,3,5,0.3,7,1,1,6,42,44,0
6,"No","Known","Suburban",368,40.72,32,0,25,0.6,0.7,21.7,0,33,2,2,121,52,46,0
7,"No","Known","Suburban",602,14.25,10,0,17,0,5.3,23.3,0,34,2,2,248,60,50,0
8,"No","Known","Town",439,39.99,40,0,0,0,2.7,8.3,0,36,1,1,1076,58,56,0
0,"No","Unknown","Other",676,77.56,59,1.98,36,0,0,0,0,9,1,1,287,42,44,0
7,"No","Known","Suburban",625,37.44,45,0,3,0,10.7,18.7,15.3,7,1,1,190,42,44,0
6,"Yes","Known","Town",798,90.81,85,9.9,0,0,3,17.7,0,20,3,2,584,52,50,0
6,"No","Known","Other",372,40.34,35,0.25,13,0,1.3,14.7,0.3,34,1,1,774,26,44,0
3,"No","Known","Other",210,39.37,30,0,26,0,1.7,2.7,0,19,1,1,578,48,46,0
7,"Yes","Known","Other",74,30.24,30,0.25,0,0,1,3,0,24,1,1,719,40,44,0
6,"Yes","Known","Town",340,35.31,48,0,0,0.3,0,0,0,10,5,4,295,40,44,0
9,"No","Known","Other",133,36.18,45,0,0,1.2,2.7,10,0,14,2,1,341,42,44,0
3,"No","Known","Town",77,35.3,45,0,0,0,2.7,7.3,0.7,7,2,1,221,42,42,0
3,"Yes","Known","Town",252,28.88,30,0,18,0,1,20.7,0.3,16,1,1,485,48,44,0
4,"No","Known","Suburban",756,74.99,85,0,0,0,9.7,87.7,0.3,17,1,1,432,42,44,0
4,"No","Known","Suburban",1201,123.11,75,2.72,86,5.8,17.7,34.7,4.3,27,1,1,145,52,66,0
8,"No","Known","Town",128,28.74,40,0,0,0,2,20,0.7,10,3,3,306,60,44,0
5,"No","Known","Other",626,90.56,10,0.25,83,0,5.3,42.3,3.3,8,2,2,33,42,44,0
5,"No","Known","Other",994,111.53,60,0.74,202,0,4,19,0,28,2,2,796,60,50,0
0,"No","Unknown","Other",898,69.8,59,3.96,24,0,14.3,52.3,7.7,11,1,1,249,42,44,0
0,"No","Unknown","Town",581,58.51,45,0,59,0,5.3,10,0.3,7,1,1,187,42,44,0
6,"No","Known","Suburban",835,40.52,50,0,28,0,14.3,103.7,20,51,1,1,15,54,54,0
7,"No","Known","Other",447,46.82,40,1.24,34,0,18.7,26.7,0,14,1,1,423,42,44,0
9,"Yes","Known","Town",537,94.49,70,6.43,92,0,5,22.7,0.3,17,3,2,247,38,34,0
6,"Yes","Known","Suburban",194,52.83,53,0,0,0,12,40.3,0,27,2,2,800,46,42,0
0,"No","Unknown","Suburban",1006,91.43,70,0.74,92,0,16.7,84.7,3.7,9,1,1,267,42,44,0
1,"No","Known","Suburban",252,35.73,45,0.74,0,0,3.3,11.3,0,15,1,1,449,26,44,0
4,"No","Known","Other",433,37.27,45,0,6,0.1,6,43.7,5.7,11,1,1,307,36,44,0
7,"Yes","Known","Other",334,39.8,27,0,43,0,3.3,10,0,19,2,2,360,42,40,0
9,"No","Known","Suburban",735,73.72,85,2.48,0,0,0.7,22.7,0.7,47,1,1,208,32,26,0
9,"No","Known","Other",138,33.73,40,0,9,0,0.7,2.3,0,12,1,1,363,40,44,0
5,"No","Known","Suburban",112,30.62,30,0,0,0.4,0.3,6,0,12,1,1,352,26,22,0
0,"No","Unknown","Other",604,55.55,45,0.25,54,0,8,38.7,10.3,6,1,1,193,42,44,0
1,"No","Known","Suburban",3,17.14,17,0,0,0,0,0.3,0,18,1,1,535,86,84,0
0,"No","Unknown","Other",1187,108.24,72,7.67,65,0,18,53.3,4,22,3,1,231,42,44,0
0,"No","Unknown","Other",320,29.99,40,0,0,0,5.3,11.7,0,17,1,1,516,42,44,0
0,"No","Unknown","Other",679,103.04,75,1.98,46,2.1,6,35.7,3,23,2,1,144,42,44,0
2,"No","Known","Town",1,10,10,0,0,0,0,1,0,23,2,2,269,52,36,0
7,"No","Unknown","Other",183,37.45,32,0,0,4.7,1.7,6.7,0,29,2,2,364,36,44,0
6,"No","Known","Other",374,39.99,50,0,0,0,4.7,7.3,3.3,7,1,1,193,52,52,0
6,"No","Known","Suburban",690,10.64,10,0.25,0,0.2,8.3,21,0,23,3,2,72,54,50,0
9,"Yes","Known","Other",612,46.51,47,0.25,22,0,5,61.3,4.7,11,2,2,204,60,50,0
0,"No","Unknown","Suburban",312,41.42,35,0.5,31,0,2,8.7,0,20,1,1,367,42,44,0
9,"Yes","Known","Other",975,110.22,60,1.49,134,9.1,6.7,30.7,1,10,2,1,135,52,48,0
7,"No","Known","Suburban",130,61.34,70,0,4,0,3.7,7,0,10,2,2,210,30,34,0
7,"No","Known","Town",865,62.99,60,0.25,0,8.3,16.3,25.3,0,34,1,1,1015,38,34,0
7,"No","Known","Suburban",88,32.34,30,0.99,0,1,1.3,4,0,29,1,1,395,38,32,0
0,"No","Unknown","Suburban",1704,50.24,70,0.25,0,0,20.3,203,18,10,1,1,288,42,44,0
0,"No","Unknown","Other",160,32.49,32,0,0,0,3,12,0,24,2,2,4,42,44,0
0,"No","Unknown","Suburban",216,25.76,16,0,37,0,1,14,10.7,9,1,1,275,42,44,0
4,"No","Unknown","Other",649,89.48,95,0.5,0,0,0,13.3,5.3,11,1,1,306,54,44,0
9,"No","Known","Other",458,30.46,10,1.98,53,0,8.3,5,0,7,3,3,211,58,44,0
8,"No","Known","Suburban",750,55.6,45,0,51,0,25.7,39.7,5,8,1,1,233,40,44,0
9,"Yes","Known","Other",490,58.76,35,0.25,55,0,4.3,15,0,9,1,1,264,50,48,0
9,"Yes","Known","Other",637,64.88,50,3.71,90,0,1.7,22,0,51,1,1,210,38,36,0
5,"No","Known","Suburban",63,38.73,45,0.25,0,3.5,0,2,0,39,1,1,1180,54,44,0
9,"Yes","Known","Town",138,62.7,70,0.25,3,1.3,9,17.3,0,9,2,2,266,50,50,0
0,"No","Unknown","Other",484,55.02,43,0.99,43,0.6,9.7,48.3,0.3,10,1,1,290,42,44,0
6,"Yes","Known","Rural",735,50.6,60,0,0,0.6,5.7,32,2,33,1,1,1004,52,48,0
9,"No","Known","Suburban",97,42.87,42,0,0,0,0.3,5.3,0,22,2,2,666,52,44,0
0,"No","Unknown","Other",62,30.17,30,0,0,0,0.3,2.3,0,39,5,2,1196,42,44,0
6,"No","Known","Other",501,46.81,30,0,45,1,10.7,34,0.7,32,2,2,210,42,44,0
0,"No","Unknown","Suburban",330,71.09,73,0.5,0,2.6,4.3,19.3,1.7,24,1,1,741,42,44,0
9,"No","Known","Suburban",1071,106.08,75,21.29,47,1.3,4.3,49,0,36,2,2,417,36,34,0
9,"Yes","Known","Suburban",209,12.94,10,0.25,11,0,0.7,17.7,0,30,3,3,912,50,44,0
1,"Yes","Known","Other",158,19.24,10,0.25,29,0.3,1.3,16.3,0,10,2,2,310,42,40,0
6,"No","Known","Town",1286,40.59,50,0,2,0,19,39,3,11,2,1,308,46,46,0
0,"No","Unknown","Town",170,35.04,34,0,0,1.5,1,9,0.7,23,1,1,362,42,44,0
1,"No","Known","Rural",2252,266.16,62,0,602,0,29,128.7,2.3,18,2,1,405,42,46,0
0,"No","Unknown","Other",382,49.99,60,0,0,0,0,15.7,0,17,1,1,25,42,44,0
5,"Yes","Known","Town",62,29.64,30,0.25,29,0,0,0,0,15,1,1,438,66,62,0
9,"No","Known","Other",368,12.54,10,0.5,6,0,0,0,0,8,2,2,243,42,40,0
4,"No","Known","Other",2045,153.19,85,1.49,298,0.6,26.3,91.7,0,26,1,1,787,36,34,0
0,"No","Unknown","Town",64,29.99,30,0,0,0,0,4.3,0,13,2,1,404,42,44,0
4,"No","Known","Other",282,34.99,45,0,0,0,1.3,28.7,0,30,1,1,659,46,56,0
4,"No","Unknown","Other",173,34.99,45,0,0,0,5,23.3,0,7,1,1,209,22,44,0
7,"Yes","Known","Suburban",28,23.11,30,0,8,0,0,2.7,0,14,1,1,405,36,36,0
8,"Yes","Known","Suburban",36,25.7,17,0.25,21,0,1.7,4.3,0,30,1,1,910,26,54,0
6,"No","Known","Suburban",833,91.73,95,2.72,13,0,6.3,49,0.7,8,3,2,179,44,44,0
3,"No","Unknown","Other",660,83.94,85,0.5,0,5.1,11.7,111,1,13,1,1,387,24,44,0
0,"No","Unknown","Other",855,50.03,45,0,28,0,3.7,26.3,0,8,1,1,238,42,44,0
5,"No","Known","Suburban",42,26.29,25,0,0,0,0,0.3,0,27,1,1,813,60,52,0
5,"No","Known","Suburban",184,33.48,30,0,11,0,1.3,8.7,0,29,1,1,868,26,44,0
6,"No","Known","Other",511,51.97,60,1.98,0,0,5.7,41.7,3.3,35,1,1,545,44,44,0
6,"No","Known","Suburban",28,30.64,30,0,0,0.6,0,0.7,0,33,1,1,991,58,56,0
8,"No","Unknown","Other",100,30.26,30,0,0,0,0,2,0,38,1,1,670,26,44,0
0,"No","Unknown","Other",820,111.39,70,0,144,0,5.7,76,0,6,2,2,182,42,44,0
3,"No","Known","Suburban",1374,161.18,60,1.49,274,0,3.3,78.7,0.3,10,2,2,142,56,52,0
0,"No","Unknown","Other",1457,45.27,49,1.73,30,0,4,33.3,2.7,7,2,2,202,42,44,0
0,"No","Unknown","Town",242,57.96,30,0.25,78,0,1,5.3,0,43,1,1,1294,42,44,0
6,"No","Known","Other",382,45.27,30,0,28,2,1.7,40,0,25,3,2,752,42,44,0
9,"Yes","Known","Town",256,10,10,0,0,0,1.7,24.7,0,9,3,3,263,48,48,0
9,"Yes","Known","Town",664,42.79,40,0,4,1.7,7.7,21.7,5,17,2,1,97,52,50,0
7,"Yes","Known","Town",107,25.16,25,0,0,0,3.3,7.3,1,21,1,1,456,42,42,0
7,"Yes","Known","Suburban",1267,129.12,90,5.94,88,2.5,10.7,55.3,0.7,35,2,2,151,28,44,0
6,"Yes","Known","Other",201,33.99,30,0.74,0,0,7.3,16,0,14,1,1,414,48,44,0
7,"No","Known","Town",302,36.12,27,0.25,10,0.4,1,19.7,0.3,19,1,1,577,42,44,0
0,"No","Unknown","Other",345,59.74,50,0,32,0,0.7,2.7,3.3,24,1,1,425,42,44,0
6,"Yes","Known","Town",2160,145.67,60,1.73,227,0,14.3,114.7,3.3,43,1,1,183,42,42,0
6,"Yes","Known","Other",451,94.7,38,0.5,152,0,7,33.3,3,20,1,1,291,42,44,0
9,"No","Known","Suburban",94,32.74,32,0.25,0,0,0,3,0,25,2,2,761,54,54,0
7,"No","Known","Other",117,30.45,30,0,0,0,5.7,6.7,0,21,1,1,612,60,62,0
6,"No","Known","Other",67,7.5,10,0,0,0,2,2.7,0,12,2,2,-1,34,44,0
6,"No","Known","Other",72,33.99,40,0,0,0,0,6.7,0,11,1,1,329,46,44,0
9,"Yes","Known","Other",228,49.99,70,0,0,0,1.7,6,0,7,1,1,211,50,44,0
9,"No","Known","Suburban",406,2.23,10,2.23,0,0,3,12,0.7,18,2,2,466,40,44,0
4,"No","Known","Other",691,63.42,55,0.74,46,0,1.3,11.7,6,9,1,1,259,52,44,0
6,"Yes","Known","Suburban",193,39.55,47,0,0,0,0,0,0,8,1,1,234,48,50,0
5,"No","Known","Other",166,34.53,30,0.5,0,4.7,2,6,0,19,2,2,574,28,28,0
6,"No","Known","Other",306,30,30,0,0,0,8,13.7,20,28,1,1,381,54,64,0
9,"No","Known","Suburban",116,13.08,10,0,3,2.2,1,4,0,9,4,4,266,54,56,0
7,"No","Known","Suburban",70,29.99,30,0,0,0,0,2,0,19,1,1,555,40,52,0
8,"No","Known","Suburban",145,14.53,10,0,2,0,2,6.7,0,20,2,2,596,50,44,0
9,"Yes","Known","Town",252,89.41,70,1.24,70,0.5,4.7,21.7,0,18,2,2,18,48,42,0
8,"No","Known","Suburban",101,29.99,30,0,0,0,2.3,16.7,0,17,1,1,505,26,44,0
0,"No","Unknown","Other",642,52.58,27,0.25,65,0,8.7,85.3,5.7,18,1,1,131,42,44,0
5,"No","Known","Other",647,36.3,10,0,18,0,7.7,19.7,3,13,2,2,82,46,44,0
3,"No","Known","Suburban",308,39.9,45,0,5,0.1,2.7,17.7,3,37,2,2,15,58,60,0
6,"No","Known","Suburban",1232,214.34,50,3.71,639,0.6,4.7,27.3,4,17,1,1,79,48,46,0
3,"No","Known","Town",51,34.99,45,0,0,0,0.7,2,0,7,1,1,212,50,48,0
4,"Yes","Known","Other",709,63.07,60,1.49,0,0,2.7,75,2.7,14,1,1,38,40,34,0
6,"No","Known","Suburban",72,47.99,50,0,0,0,0,0,0,11,1,1,336,70,44,0
0,"No","Unknown","Suburban",358,49.09,45,0,35,0,3.7,75.3,7.7,14,1,1,136,42,44,0
8,"No","Known","Other",15,30.26,30,0,0,0,0.3,0.3,0,16,1,1,479,88,78,0
9,"No","Known","Suburban",314,53.7,30,0,53,5.2,0,0,0,13,1,1,394,26,28,0
6,"Yes","Known","Other",1228,90.12,51,1.24,169,0,32.7,54.7,7,9,1,1,270,70,68,0
7,"Yes","Known","Other",1498,126.73,78,0,173,0,11.7,19,4.3,7,1,1,218,46,48,0
7,"Yes","Known","Town",53,24.11,17,0,14,0,0.3,1.7,0,29,1,1,879,48,46,0
7,"Yes","Unknown","Suburban",607,56.71,60,2.72,0,0,33.3,46,0,36,1,1,1044,42,44,0
6,"Yes","Known","Suburban",1214,65.05,60,4.7,34,0,16.3,47.7,0.3,19,1,1,142,54,50,0
5,"No","Known","Suburban",294,53.99,50,0,0,0,0.3,4.3,0.7,20,1,1,60,34,66,0
7,"No","Known","Other",51,17.21,0,0.5,48,0,3.3,8,0,59,1,1,287,46,46,0
6,"No","Known","Other",63,30,30,0,0,0,0,17.7,0,21,2,2,619,48,50,0
6,"Yes","Known","Suburban",50,30.6,30,0,0,0,0,0,0,28,1,1,853,40,40,0
4,"No","Unknown","Other",346,82.86,35,0.5,111,0.6,3.3,11.7,0,39,2,2,1165,42,44,0
0,"No","Unknown","Other",510,44.39,42,0,36,0.2,4.7,19,2.3,30,1,1,221,42,44,0
0,"No","Unknown","Other",985,239.66,59,0.99,542,0,3.7,68,4.7,33,2,2,147,42,44,0
6,"No","Known","Other",978,175.41,50,2.97,396,0.4,3.7,18.3,1,22,1,1,347,42,44,0
6,"No","Known","Town",1560,262.73,63,6.43,642,0,6.7,41.7,0.3,30,2,2,138,26,44,0
0,"No","Unknown","Rural",538,67.71,36,0.25,130,0.2,4,15.3,0,18,1,1,554,42,44,0
0,"No","Unknown","Other",1086,92.36,50,0,104,1,14.7,26.7,0,44,1,1,309,42,44,0
0,"No","Unknown","Other",696,64.64,60,10.39,0,0.3,15,147.7,1.3,11,1,1,334,42,44,0
1,"No","Unknown","Suburban",646,71.01,50,0,59,0.1,2,24.3,4,19,1,1,549,22,44,0
4,"Yes","Known","Suburban",152,29.99,30,0,0,0,1,16.7,10,18,1,1,314,42,38,0
0,"No","Unknown","Other",823,47.31,36,0,38,0,33,79,0.7,26,2,1,255,42,44,0
0,"No","Unknown","Other",243,54.49,60,0,0,0,6,21.7,3.3,22,1,1,310,42,44,0
7,"No","Known","Suburban",2211,149.29,89,0.25,170,0,12.3,64.3,17.3,36,1,1,222,38,30,0
1,"No","Known","Suburban",94,39.3,45,0,0,0,9,3.7,0,6,2,1,3,58,26,0
7,"No","Known","Suburban",424,52.52,45,0.99,47,0,5.3,1.7,3.7,12,2,2,354,28,44,0
9,"Yes","Known","Other",380,19.8,9,0.74,29,0.9,15.7,22,1,33,2,2,336,36,34,0
0,"No","Unknown","Other",458,69.49,35,0,56,0,9.7,42.3,0,20,1,1,79,42,44,0
0,"No","Unknown","Other",2455,307.52,75,0.74,580,0,6,43.3,23,9,1,1,129,42,44,0
0,"No","Unknown","Other",594,38.99,45,0,0,0,31.3,50.7,10,8,1,1,218,42,44,0
2,"Yes","Known","Suburban",42,34.99,45,0,0,0,0,4.3,0,10,1,1,53,36,32,0
4,"No","Known","Suburban",831,90.92,30,0,138,0,12.7,44.3,5.3,15,1,1,95,34,34,0
0,"No","Unknown","Other",389,34,40,0.25,11,0,5.3,24,2.3,23,2,1,678,42,44,0
7,"Yes","Known","Suburban",481,51.08,50,0.5,0,0.6,1,1.3,0,27,1,1,800,44,44,0
9,"No","Unknown","Suburban",715,54.38,60,0.5,0,0,16.3,25.7,0,16,1,1,481,40,36,0
3,"Yes","Known","Suburban",577,69.32,50,0,34,0,7.3,17.3,0,24,2,1,98,40,28,0
0,"No","Unknown","Suburban",712,54.79,45,0,50,0,0.3,10.7,2.7,13,1,1,183,42,44,0
9,"No","Known","Suburban",1123,297.91,60,0,512,33.7,14.7,46.3,0,38,1,1,111,44,40,0
5,"No","Known","Suburban",285,33.79,34,0.25,0,0,1.3,6.3,0,18,1,1,535,38,44,0
7,"No","Known","Town",270,49.6,40,2.97,0,6.6,7,6.7,0,12,2,1,349,54,44,0
7,"No","Known","Town",276,43.21,45,0.25,10,0.2,1.3,7.7,0,7,1,1,210,28,28,0
0,"No","Unknown","Other",996,130.5,50,1.24,209,0,12,46,0.3,7,1,1,191,42,44,0
6,"No","Known","Suburban",598,73.09,70,0,33,0,4.3,34,0,7,3,2,148,34,44,0
0,"No","Unknown","Other",164,46.85,57,0.25,0,0,0.3,6.3,1,36,1,1,1067,42,44,0
0,"No","Unknown","Suburban",103,34.99,45,0,0,0,0,0.7,0,13,2,2,384,30,44,0
7,"No","Known","Suburban",25,10,10,0,0,0,0,1,2.7,15,1,1,204,32,32,0
6,"Yes","Known","Town",1150,124.2,70,1.98,182,1.7,13.7,61.3,0,9,1,1,267,54,54,0
4,"No","Unknown","Other",1295,110.56,60,0,289,0,17.7,236,2.3,7,2,2,98,60,44,0
7,"No","Unknown","Other",567,88.72,70,0.99,87,0,1,9.3,0,36,1,1,142,32,44,0
0,"Yes","Unknown","Other",94,34.29,30,0,0,0.8,1,11.7,0,18,2,1,265,42,44,0
6,"No","Known","Town",871,34.99,45,0,0,0,5,32.3,9,13,1,1,366,40,44,0
6,"No","Known","Suburban",1399,56.25,60,0,80,0,0,0,0,9,1,1,263,32,44,0
0,"No","Unknown","Other",844,84.79,85,0,16,0,14.7,48.7,0,6,3,1,155,42,44,0
0,"No","Unknown","Other",325,44.29,35,1.49,26,0.1,10,63,1.7,7,1,1,207,42,44,0
6,"No","Known","Suburban",9,19.99,30,0,0,0,0,0,0,18,1,1,519,26,22,0
