"MonthlyMinutes","MonthlyRevenue","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","DroppedCalls","UnansweredCalls","CustomerCareCalls","MonthsInService","UniqueSubs","ActiveSubs","CurrentEquipmentDays","AgeHH1","AgeHH2","Churn","IncomeGroup_1","IncomeGroup_2","IncomeGroup_3","IncomeGroup_4","IncomeGroup_5","IncomeGroup_6","IncomeGroup_7","IncomeGroup_8","IncomeGroup_9","ChildrenInHH_Yes","Homeownership_Unknown","PrizmCode_Rural","PrizmCode_Suburban","PrizmCode_Town"
947,94.02,60,5.69,128,0,17,71.7,4,16,2,1,405,34,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,30.3,40,0,0,0.3,0.3,0.3,0,13,1,1,388,48,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220,30.24,40,0.25,0,0,0,5.3,0,15,1,1,445,60,54,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
823,86,95,0.25,0,0,0,0,0,8,2,2,253,30,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
197,42.59,38,0,12,0,0,38,2.7,22,1,1,663,54,44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
546,45.94,54,0,2,0,4.7,6,4.3,32,1,1,298,40,44,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6,27.84,27,0.25,0,0,0,0,0,17,1,1,520,28,24,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
43,10.29,10,0,1,0.1,0.7,1.3,0,9,4,4,264,52,52,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
400,60.9,90,3.96,0,0,4.3,8.3,0,13,2,2,281,44,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
989,218.44,31,0,532,1.1,6.3,43.3,2,16,1,1,16,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
613,86.81,80,2.72,35,0,3,33,6.7,7,2,2,203,48,42,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
602,81.82,40,0.25,102,4.8,8,14,0.7,24,1,1,97,42,44,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1196,51.5,52,0,26,0,3.7,38.7,5.3,12,1,1,344,24,44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
732,65.44,50,4.7,44,0,15.7,58,3,17,1,1,315,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
238,38.03,30,0.99,10,5,11.3,30.3,1,26,1,1,142,50,46,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
199,33.25,30,0,0,0,1.7,3.3,0,23,1,1,683,24,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,9.99,10,0,0,0,0.3,3,0,21,2,2,630,50,44,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
368,51.52,42,0.5,48,1.5,0,0,0,12,1,1,356,22,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
554,40.73,36,1.49,0,0,14,26,0,16,1,1,89,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,50,50,0,0,0,0.3,1.3,0.7,36,1,1,750,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
893,61.37,55,0.99,28,0,21,25.3,0,19,1,1,188,42,44,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
151,39.66,30,0,17,1.8,4.3,19,0.3,20,2,2,620,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
887,39.54,45,0,12,0,3.7,42,10.3,24,1,1,51,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
514,44.71,40,3.22,4,0,4.3,34.3,2.7,8,2,2,203,32,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
406,35.7,45,0,0,0.4,4.3,20.3,0,23,1,1,204,48,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
366,47.59,30,0,48,0.7,1.7,10,0,27,2,1,310,38,36,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
90,38.99,45,0,0,0,0,0,0,12,1,1,345,44,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1236,121.44,75,2.72,174,0.1,12.7,135,2,20,1,1,613,58,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,18.91,20,0,0,0,0,0,0,13,1,1,369,56,48,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,4.55,0,0,10,0,0.7,2.3,0,59,1,1,885,42,44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
142,30.89,38,0,2,0,1,3.7,0,20,1,1,616,50,46,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
826,85.56,75,0,0,0,12.3,101.3,0,49,1,1,85,38,44,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1188,106.99,105,0,0,0,5.3,74,3.3,16,5,3,125,52,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
365,10.49,10,0.5,0,0,2,13.7,16.3,7,3,2,185,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
630,131.61,88,0.99,0,5.2,6,9.7,0,14,1,1,202,46,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
262,36.56,45,0,4,0,6,5.3,1,14,3,3,435,54,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
223,36.08,45,0.74,1,0,3,10.7,0,14,1,1,424,50,42,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
422,54.19,60,2.97,1,0.3,4,11,0,11,1,1,329,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1731,152.58,55,0.5,285,0,38.3,32,12.7,10,1,1,310,50,50,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2852,86.93,95,0,77,0,40,204,30,15,3,3,106,32,32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1109,63.69,60,0,14,0.7,8,25,2,18,2,2,293,54,54,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
448,29.54,10,1.24,46,0,2,18.3,0,28,2,2,829,28,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
373,36.61,45,0.25,4,0.1,2.3,53.3,0,11,1,1,327,22,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,30.15,30,0,1,0,4,8.3,2.3,15,2,1,347,42,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
349,35.3,45,0,0,0,2,21.7,7,7,1,1,204,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
101,58.2,57,0.5,0,0,0.3,0.7,0,40,2,2,791,34,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,150.28,87,3.22,270,0.6,16,48,0.7,8,1,1,249,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
328,37.6,45,0,6,0.2,3.7,36.3,2.7,6,1,1,77,34,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
465,51.15,50,0,0,0,8,12.7,5,23,2,1,697,26,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
183,30.89,32,0.5,0,0,3.7,10,0.3,34,2,2,1023,56,26,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
366,51.29,45,0,41,0,6.7,34.7,0.3,7,2,2,211,32,44,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1218,144.71,137,7.42,22,0,9,81.3,4,33,4,1,105,40,36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
310,43.82,56,0,0,0.6,11.3,16.3,0.3,15,1,1,119,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
277,37.74,47,0.25,0,0,3,8.3,3.7,21,1,1,50,56,54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
840,90.72,85,1.73,0,0,1.3,60,0.3,11,2,2,309,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
26,36.23,45,1.24,0,0,0.3,1,0,33,1,1,319,34,34,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
75,32.33,30,0,0,2.3,1.7,2.3,0,23,1,1,703,54,52,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
212,19.75,10,0,18,0,1.3,13,1.3,10,2,2,244,56,50,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
125,56.7,60,0.5,19,0,3.7,4,0,20,2,2,325,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
483,80.78,85,0,6,0,1.7,11.7,0,33,1,1,157,28,26,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
569,49.41,55,0,26,0,10,0,3.3,7,1,1,225,42,38,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
186,43.61,25,0,48,0,2,6.3,0,20,1,1,528,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1776,169.63,85,0.74,366,2.4,3.7,25,1.3,28,1,1,516,52,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
670,56.54,60,0,15,0,13.3,28,0.7,21,1,1,628,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,30.26,30,0,0,0,0.7,5.3,0,16,1,1,490,42,38,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
663,65.22,65,1.49,0,0,2.3,56.7,1.7,8,1,1,220,42,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
130,54.1,55,0,0,0.8,5.3,9.7,3.3,6,1,1,191,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
279,68.25,35,1.24,62,8,1.7,14.7,5.3,13,1,1,275,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1022,171.88,60,1.98,391,2.5,12.7,55.7,0,11,1,1,314,40,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
304,36.07,30,0.74,10,0.3,3.3,18.7,0,15,1,1,448,42,44,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
672,84.24,31,0.25,16,0,3,5,0.3,7,1,1,6,42,44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
368,40.72,32,0,25,0.6,0.7,21.7,0,33,2,2,121,52,46,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
602,14.25,10,0,17,0,5.3,23.3,0,34,2,2,248,60,50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
439,39.99,40,0,0,0,2.7,8.3,0,36,1,1,1076,58,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
676,77.56,59,1.98,36,0,0,0,0,9,1,1,287,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
625,37.44,45,0,3,0,10.7,18.7,15.3,7,1,1,190,42,44,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
798,90.81,85,9.9,0,0,3,17.7,0,20,3,2,584,52,50,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
372,40.34,35,0.25,13,0,1.3,14.7,0.3,34,1,1,774,26,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,39.37,30,0,26,0,1.7,2.7,0,19,1,1,578,48,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,30.24,30,0.25,0,0,1,3,0,24,1,1,719,40,44,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
340,35.31,48,0,0,0.3,0,0,0,10,5,4,295,40,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
133,36.18,45,0,0,1.2,2.7,10,0,14,2,1,341,42,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,35.3,45,0,0,0,2.7,7.3,0.7,7,2,1,221,42,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
252,28.88,30,0,18,0,1,20.7,0.3,16,1,1,485,48,44,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
756,74.99,85,0,0,0,9.7,87.7,0.3,17,1,1,432,42,44,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1201,123.11,75,2.72,86,5.8,17.7,34.7,4.3,27,1,1,145,52,66,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
128,28.74,40,0,0,0,2,20,0.7,10,3,3,306,60,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
626,90.56,10,0.25,83,0,5.3,42.3,3.3,8,2,2,33,42,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
994,111.53,60,0.74,202,0,4,19,0,28,2,2,796,60,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
898,69.8,59,3.96,24,0,14.3,52.3,7.7,11,1,1,249,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
581,58.51,45,0,59,0,5.3,10,0.3,7,1,1,187,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
835,40.52,50,0,28,0,14.3,103.7,20,51,1,1,15,54,54,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
447,46.82,40,1.24,34,0,18.7,26.7,0,14,1,1,423,42,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
537,94.49,70,6.43,92,0,5,22.7,0.3,17,3,2,247,38,34,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
194,52.83,53,0,0,0,12,40.3,0,27,2,2,800,46,42,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1006,91.43,70,0.74,92,0,16.7,84.7,3.7,9,1,1,267,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
252,35.73,45,0.74,0,0,3.3,11.3,0,15,1,1,449,26,44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
433,37.27,45,0,6,0.1,6,43.7,5.7,11,1,1,307,36,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
334,39.8,27,0,43,0,3.3,10,0,19,2,2,360,42,40,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
735,73.72,85,2.48,0,0,0.7,22.7,0.7,47,1,1,208,32,26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
138,33.73,40,0,9,0,0.7,2.3,0,12,1,1,363,40,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,30.62,30,0,0,0.4,0.3,6,0,12,1,1,352,26,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
604,55.55,45,0.25,54,0,8,38.7,10.3,6,1,1,193,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,17.14,17,0,0,0,0,0.3,0,18,1,1,535,86,84,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1187,108.24,72,7.67,65,0,18,53.3,4,22,3,1,231,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
320,29.99,40,0,0,0,5.3,11.7,0,17,1,1,516,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
679,103.04,75,1.98,46,2.1,6,35.7,3,23,2,1,144,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,10,10,0,0,0,0,1,0,23,2,2,269,52,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
183,37.45,32,0,0,4.7,1.7,6.7,0,29,2,2,364,36,44,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
374,39.99,50,0,0,0,4.7,7.3,3.3,7,1,1,193,52,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
690,10.64,10,0.25,0,0.2,8.3,21,0,23,3,2,72,54,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
612,46.51,47,0.25,22,0,5,61.3,4.7,11,2,2,204,60,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
312,41.42,35,0.5,31,0,2,8.7,0,20,1,1,367,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
975,110.22,60,1.49,134,9.1,6.7,30.7,1,10,2,1,135,52,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
130,61.34,70,0,4,0,3.7,7,0,10,2,2,210,30,34,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
865,62.99,60,0.25,0,8.3,16.3,25.3,0,34,1,1,1015,38,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88,32.34,30,0.99,0,1,1.3,4,0,29,1,1,395,38,32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1704,50.24,70,0.25,0,0,20.3,203,18,10,1,1,288,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
160,32.49,32,0,0,0,3,12,0,24,2,2,4,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,25.76,16,0,37,0,1,14,10.7,9,1,1,275,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
649,89.48,95,0.5,0,0,0,13.3,5.3,11,1,1,306,54,44,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
458,30.46,10,1.98,53,0,8.3,5,0,7,3,3,211,58,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
750,55.6,45,0,51,0,25.7,39.7,5,8,1,1,233,40,44,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
490,58.76,35,0.25,55,0,4.3,15,0,9,1,1,264,50,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
637,64.88,50,3.71,90,0,1.7,22,0,51,1,1,210,38,36,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
63,38.73,45,0.25,0,3.5,0,2,0,39,1,1,1180,54,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
138,62.7,70,0.25,3,1.3,9,17.3,0,9,2,2,266,50,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
484,55.02,43,0.99,43,0.6,9.7,48.3,0.3,10,1,1,290,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735,50.6,60,0,0,0.6,5.7,32,2,33,1,1,1004,52,48,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
97,42.87,42,0,0,0,0.3,5.3,0,22,2,2,666,52,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,30.17,30,0,0,0,0.3,2.3,0,39,5,2,1196,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
501,46.81,30,0,45,1,10.7,34,0.7,32,2,2,210,42,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
330,71.09,73,0.5,0,2.6,4.3,19.3,1.7,24,1,1,741,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1071,106.08,75,21.29,47,1.3,4.3,49,0,36,2,2,417,36,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
209,12.94,10,0.25,11,0,0.7,17.7,0,30,3,3,912,50,44,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
158,19.24,10,0.25,29,0.3,1.3,16.3,0,10,2,2,310,42,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1286,40.59,50,0,2,0,19,39,3,11,2,1,308,46,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
170,35.04,34,0,0,1.5,1,9,0.7,23,1,1,362,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2252,266.16,62,0,602,0,29,128.7,2.3,18,2,1,405,42,46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
382,49.99,60,0,0,0,0,15.7,0,17,1,1,25,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,29.64,30,0.25,29,0,0,0,0,15,1,1,438,66,62,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
368,12.54,10,0.5,6,0,0,0,0,8,2,2,243,42,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2045,153.19,85,1.49,298,0.6,26.3,91.7,0,26,1,1,787,36,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,29.99,30,0,0,0,0,4.3,0,13,2,1,404,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
282,34.99,45,0,0,0,1.3,28.7,0,30,1,1,659,46,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,34.99,45,0,0,0,5,23.3,0,7,1,1,209,22,44,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,23.11,30,0,8,0,0,2.7,0,14,1,1,405,36,36,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
36,25.7,17,0.25,21,0,1.7,4.3,0,30,1,1,910,26,54,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
833,91.73,95,2.72,13,0,6.3,49,0.7,8,3,2,179,44,44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
660,83.94,85,0.5,0,5.1,11.7,111,1,13,1,1,387,24,44,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
855,50.03,45,0,28,0,3.7,26.3,0,8,1,1,238,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,26.29,25,0,0,0,0,0.3,0,27,1,1,813,60,52,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
184,33.48,30,0,11,0,1.3,8.7,0,29,1,1,868,26,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
511,51.97,60,1.98,0,0,5.7,41.7,3.3,35,1,1,545,44,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,30.64,30,0,0,0.6,0,0.7,0,33,1,1,991,58,56,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
100,30.26,30,0,0,0,0,2,0,38,1,1,670,26,44,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
820,111.39,70,0,144,0,5.7,76,0,6,2,2,182,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1374,161.18,60,1.49,274,0,3.3,78.7,0.3,10,2,2,142,56,52,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1457,45.27,49,1.73,30,0,4,33.3,2.7,7,2,2,202,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
242,57.96,30,0.25,78,0,1,5.3,0,43,1,1,1294,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
382,45.27,30,0,28,2,1.7,40,0,25,3,2,752,42,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
256,10,10,0,0,0,1.7,24.7,0,9,3,3,263,48,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
664,42.79,40,0,4,1.7,7.7,21.7,5,17,2,1,97,52,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
107,25.16,25,0,0,0,3.3,7.3,1,21,1,1,456,42,42,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1267,129.12,90,5.94,88,2.5,10.7,55.3,0.7,35,2,2,151,28,44,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
201,33.99,30,0.74,0,0,7.3,16,0,14,1,1,414,48,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
302,36.12,27,0.25,10,0.4,1,19.7,0.3,19,1,1,577,42,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
345,59.74,50,0,32,0,0.7,2.7,3.3,24,1,1,425,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2160,145.67,60,1.73,227,0,14.3,114.7,3.3,43,1,1,183,42,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
451,94.7,38,0.5,152,0,7,33.3,3,20,1,1,291,42,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
94,32.74,32,0.25,0,0,0,3,0,25,2,2,761,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
117,30.45,30,0,0,0,5.7,6.7,0,21,1,1,612,60,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,7.5,10,0,0,0,2,2.7,0,12,2,2,-1,34,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,33.99,40,0,0,0,0,6.7,0,11,1,1,329,46,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,49.99,70,0,0,0,1.7,6,0,7,1,1,211,50,44,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
406,2.23,10,2.23,0,0,3,12,0.7,18,2,2,466,40,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
691,63.42,55,0.74,46,0,1.3,11.7,6,9,1,1,259,52,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,39.55,47,0,0,0,0,0,0,8,1,1,234,48,50,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
166,34.53,30,0.5,0,4.7,2,6,0,19,2,2,574,28,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
306,30,30,0,0,0,8,13.7,20,28,1,1,381,54,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116,13.08,10,0,3,2.2,1,4,0,9,4,4,266,54,56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,29.99,30,0,0,0,0,2,0,19,1,1,555,40,52,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145,14.53,10,0,2,0,2,6.7,0,20,2,2,596,50,44,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
252,89.41,70,1.24,70,0.5,4.7,21.7,0,18,2,2,18,48,42,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
